cpu,mem,disk
17.5,33.36,2.96
18.53,35.42,0.0
37.55,41.91,2.16
68.67,47.39,0.48
93.39,47.5,0.0
93.86,47.54,1.52
94.42,47.54,92.32
95.62,47.54,18.16
93.88,47.54,0.08
94.27,47.54,0.0
94.41,47.54,0.0
94.64,47.54,0.08
95.25,47.55,1.68
93.93,47.55,0.08
96.09,47.55,0.16
93.32,47.57,0.08
94.67,47.58,0.16
94.81,47.58,0.08
95.39,47.58,0.08
95.47,47.58,0.08
94.49,47.58,0.0
95.56,47.58,0.0
95.3,47.58,0.0
95.89,47.58,0.0
95.08,47.61,0.08
95.74,47.61,0.0
96.3,47.61,0.0
95.66,47.62,0.88
96.01,47.64,0.0
95.72,47.64,0.08
95.22,47.64,0.16
95.61,47.64,0.0
95.49,47.64,0.0
95.09,47.64,0.0
93.9,47.64,0.0
95.32,47.64,0.0
95.75,47.64,0.0
94.05,47.65,0.0
96.04,47.65,0.0
94.64,47.65,0.0
96.03,47.65,0.0
95.6,47.65,0.0
96.17,47.65,0.48
95.62,47.68,0.0
96.29,47.68,0.0
95.67,47.68,0.08
96.19,47.68,0.0
95.6,47.68,0.0
96.2,47.68,0.08
95.55,47.68,0.0
95.69,47.68,0.0
96.12,47.68,0.0
95.77,47.68,0.08
96.17,47.68,0.08
95.77,47.68,0.0
96.15,47.7,0.0
95.74,47.7,0.08
96.0,47.7,0.08
95.74,47.7,0.08
96.05,47.7,0.0
93.92,47.7,0.0
96.28,47.7,0.08
95.54,47.7,0.0
95.6,47.7,0.08
96.14,47.7,0.0
95.62,47.7,0.0
96.14,47.7,0.0
95.16,47.93,3.2
96.15,47.93,0.08
95.82,47.93,0.0
96.14,47.93,0.0
95.76,47.93,0.08
96.12,47.94,0.08
95.44,47.95,0.16
95.24,47.95,0.0
95.56,47.95,0.0
95.52,47.95,0.0
96.2,47.95,1.44
95.54,47.96,0.0
96.25,47.95,0.0
95.64,47.95,0.0
95.99,47.96,0.0
95.64,47.96,0.0
96.12,47.96,0.0
95.53,47.96,0.0
96.07,47.96,0.0
95.66,47.96,0.0
96.19,47.96,0.0
95.53,47.96,0.0
95.56,47.96,0.0
96.21,47.96,0.0
95.51,47.96,0.0
96.12,47.96,1.2
95.54,47.96,0.0
96.02,47.98,0.0
95.65,47.98,0.0
94.99,47.98,0.0
95.57,47.98,0.0
95.26,47.99,0.0
96.07,47.99,0.0
95.74,48.0,0.08
95.6,48.0,0.0
96.24,48.0,0.0
95.57,48.01,0.0
96.05,48.01,0.0
95.47,48.01,0.08
96.12,48.01,0.0
95.74,48.01,0.0
96.13,48.01,0.08
95.47,48.01,0.0
96.19,48.01,1.12
95.51,48.01,0.0
96.09,48.01,0.08
95.78,48.01,0.08
95.61,48.01,0.08
95.97,48.01,0.0
95.82,48.02,0.0
96.1,48.02,0.0
95.67,48.02,0.08
96.12,48.02,0.0
94.71,48.02,0.0
95.99,48.02,0.0
95.62,48.03,0.0
96.17,48.03,0.0
95.55,48.03,0.08
96.12,48.03,0.0
95.65,48.03,0.08
95.96,48.04,0.0
95.86,48.04,1.52
95.21,48.04,0.0
95.63,48.04,0.0
96.02,48.04,0.0
95.79,48.04,0.0
95.97,48.04,0.0
95.45,48.04,0.0
95.94,48.04,0.0
95.72,48.04,0.0
96.05,48.04,0.0
95.66,48.04,0.0
95.65,48.04,0.0
96.16,48.04,0.0
95.74,48.04,0.0
96.02,48.04,0.0
95.49,48.04,0.0
96.22,48.04,1.12
95.64,48.04,0.0
96.02,48.04,0.0
95.62,48.04,0.0
96.05,48.04,0.0
95.77,48.04,0.0
96.1,48.05,0.0
95.67,48.05,0.0
95.72,48.05,0.0
96.25,48.06,0.0
95.54,48.06,0.0
95.99,48.06,0.32
95.69,48.06,0.0
96.06,48.06,0.0
95.72,48.06,0.08
95.98,48.06,1.68
95.62,48.06,0.0
96.16,48.06,0.0
95.67,48.06,0.08
96.15,48.06,0.0
95.7,48.06,0.0
95.69,48.06,0.0
96.12,48.08,0.0
95.67,48.09,0.0
96.18,48.09,0.08
95.67,48.09,0.0
96.02,48.09,0.0
95.56,48.09,0.0
95.99,48.09,0.0
95.57,48.09,0.0
96.15,48.11,0.08
95.62,48.11,0.08
95.94,48.11,0.0
95.82,48.11,1.04
95.34,48.11,0.0
95.61,48.11,0.0
95.82,48.11,0.0
95.89,48.11,0.16
95.69,48.11,0.08
95.96,48.13,0.08
95.7,48.13,0.0
96.22,48.13,0.0
95.54,48.13,0.08
95.97,48.13,0.0
95.69,48.13,0.0
96.18,48.13,0.0
95.67,48.13,0.0
96.29,48.13,0.0
95.81,48.13,0.0
95.73,48.13,0.72
96.21,48.13,0.0
95.53,48.13,0.08
96.2,48.13,0.0
95.74,48.13,0.0
38.91,38.63,0.08
0.03,37.78,0.0
